epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,171.74,0.66314,1.04298,0.68147,0.00628,0.30106,1,0.98764,0.99476,0.84539,1,0.98764,0.99476,0.85988,0.63113,0.91726,0.23812,0.0106,0,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,178.301,0.62793,0.9902,0.61232,0.00609,0.29524,0.98792,0.9976,0.99476,0.83562,0.98792,0.9976,0.99476,0.85849,0.64779,0.91048,0.21228,0.0108,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,185.081,0.62219,1.01743,0.61761,0.00595,0.29575,1,0.94763,0.99292,0.8488,1,0.94763,0.99292,0.85721,0.61182,0.92243,0.24329,0.0103,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,191.415,0.61443,0.9394,0.58414,0.00592,0.36796,0.98745,0.95919,0.99349,0.83671,0.98745,0.95919,0.99349,0.8433,0.61947,1.00483,0.25753,0.01053,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,198.081,0.59964,0.9535,0.53046,0.0057,0.27446,0.97465,0.9878,0.99332,0.83018,0.97465,0.9878,0.99332,0.8575,0.68002,0.96289,0.25594,0.01147,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,204.746,0.62908,0.97954,0.55315,0.00582,0.29427,0.98794,0.99881,0.99331,0.85589,0.98794,0.99881,0.99331,0.8651,0.62293,0.91136,0.21847,0.01047,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,211.428,0.61644,0.9733,0.51123,0.00573,0.27134,0.98339,0.9878,0.98921,0.8492,0.98339,0.9878,0.98921,0.85107,0.60169,0.94056,0.23028,0.01021,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,218.088,0.60728,0.95137,0.51373,0.00583,0.28861,0.96913,0.9878,0.99367,0.85003,0.96913,0.9878,0.99367,0.85842,0.6271,0.94219,0.21592,0.01066,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,224.949,0.62246,0.97574,0.49924,0.00568,0.2698,1,0.9863,0.99443,0.85229,1,0.9863,0.99443,0.84121,0.61581,1.03647,0.19718,0.01047,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,231.738,0.57518,0.90388,0.44698,0.00541,0.26579,0.97515,1,0.99415,0.84779,0.97515,1,0.99415,0.8422,0.63548,1.06906,0.20447,0.01083,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
